snapshot_month,drug_code,code_status,약품명,opening_qty,opening_amt,in_qty,in_amt,used_qty,used_amt,disposal_qty,return_qty,closing_qty,closing_amt
2026-01,SGBRONNC10,CODE,가바로닌캡슐100mg,808,159984,0,0,286,56628,0,0,522,103356
2026-01,SGBRONNC30,CODE,가바로닌캡슐300mg,505,205535,500,203500,313,127391,0,0,692,281644
2026-01,GBRT100,CODE,가바론틴캡슐100밀리그램,,,0,0,0,0,0,0,0,0
2026-01,GBRT300,CODE,가바론틴캡슐300밀리그램,,,0,0,0,0,0,0,0,0
2026-01,GVSMT5,CODE,가브스메트정50/500,,,0,0,0,0,0,0,0,0
2026-01,GVSMT,CODE,가브스메트정50/850,,,0,0,0,0,0,0,0,0
2026-01,GVS50,CODE,가브스정50밀리그램,,,0,0,0,0,0,0,0,0
2026-01,GBTR100,CODE,가비스타캡슐 100mg 가바론틴캡슐100mg 변경,,,0,0,0,0,0,0,0,0
2026-01,GASPRID,CODE,가스프리드정,,,0,0,0,0,0,0,0,0
2026-01,GDS25,CODE,거드액(25mL),,,0,0,0,0,0,0,0,0
2026-01,KSPT100,CODE,건스펜틴캡슐100mg,,,0,0,0,0,0,0,0,0
2026-01,KSPT300,CODE,건스펜틴캡슐300mg,,,0,0,0,0,0,0,0,0
2026-01,KPR10,CODE,건프람정10mg,,,0,0,0,0,0,0,0,0
2026-01,GRD2,CODE,게리드정2밀리그램,1469.5,230711.5,0,0,79.5,12481.5,0,0,1390,218230
2026-01,GRDT4,CODE,게리드정4밀리그램,388,100492,0,0,56,14504,0,0,332,85988
2026-01,GFSM,CODE,겔포스엠현탁액,,,0,0,0,0,0,0,0,0
2026-01,GODEXCP,CODE,고덱스캡슐,541,168251,0,0,425,132175,0,0,116,36076
2026-01,KOREAEUNDAN,CODE,고려은단비타민씨정,3888.5,342188,0,0,144,12672,0,0,3744.5,329516
2026-01,GOCALD,CODE,고칼디정,957,77517,0,0,91,7371,0,0,866,70146
2026-01,SPRDT,CODE,구주스피로닥톤정,2854,154116,0,0,94,5076,0,0,2760,149040
2026-01,GRPR1000,CODE,그랑페롤연질캡슐1000IU,153,51102,0,0,51,17034,0,0,102,34068
2026-01,GLZID80,CODE,그리자이드정,132,10824,0,0,0,0,0,0,132,10824
2026-01,GLCN5,CODE,글루코닐정500mg,,,0,0,0,0,0,0,0,0
2026-01,GLUDT1000,CODE,글루코다운정1000mg,228,26904,300,35400,163,19234,0,0,365,43070
2026-01,GLUDT250,CODE,글루코다운정250mg,3009,147441,0,0,251,12299,0,0,2758,135142
2026-01,GLUDT500,CODE,글루코다운정500mg,1108,77560,1000,70000,545,38150,0,0,1563,109410
2026-01,GLCB10,CODE,글루코바이정100mg,,,0,0,0,0,0,0,0,0
2026-01,SGLP1000,CODE,글루파정1000mg,,,0,0,0,0,0,0,0,0
2026-01,GLATAMSYR,CODE,글리아타민시럽,,,0,0,0,0,0,0,0,0
2026-01,NAXEN-F,CODE,낙센에프정500mg,669,72921,0,0,0,0,0,0,669,72921
2026-01,NXZ,CODE,낙소졸정500/20mg,600,226800,0,0,264,99792,0,0,336,127008
2026-01,NEBAMINE,CODE,네바민정100mg,,,0,0,0,0,0,0,0,0
2026-01,NBLT,CODE,네비레트정,27.5,6160,0,0,13.5,3024,0,0,12,3136
2026-01,NBCT,CODE,네비칸정,60,,0,,2,0,0,0,58,
2026-01,NESTYKAL,CODE,네스티칼현탁액/사용량저조반품,,,0,0,0,0,0,0,0,0
2026-01,SNESINA12.5,CODE,네시나정12.5mg,0,0,100,50300,58,29174,0,0,42,21126
2026-01,NOCT10,CODE,네오셉트정10mg,4100,10086000,0,0,340,836400,0,0,3760,9249600
2026-01,NEOCT5,CODE,네오셉트정5mg,1352.5,2786150,0,0,246.5,507790,0,0,1106,2278360
2026-01,NEXIOM40,CODE,넥시오메정40mg,503,460748,112,102592,156,142896,0,0,459,420444
2026-01,SNXU4,CODE,넥시움정40mg,,,0,0,0,0,0,0,0,0
2026-01,NSFMTD2,CODE,넬슨파모티딘정20mg,,,0,0,0,0,0,0,0,0
2026-01,NORMX,CODE,노르믹스정,194,105342,0,0,0,0,0,0,194,105342
2026-01,NVT5160,CODE,노발탄정5/160mg,389,384332,150,148200,68,67184,0,0,471,465348
2026-01,NVT580,CODE,노발탄정5/80mg,329,264845,150,120750,147,118335,0,0,332,267260
2026-01,NOBSET20,CODE,노브세틴캡슐,1227,550923,0,0,2,898,0,0,1225,550025
2026-01,NOIRM,CODE,노이로민정300mg,60,9540,0,0,0,0,0,0,60,9540
2026-01,NTPMN,CODE,노통펜프러스미니정->비엘셋세미 변경,,,0,0,0,0,0,0,0,0
2026-01,NOPC,CODE,노피드캡슐,440,156640,0,0,124,44144,0,0,316,112496
2026-01,NCMT200,CODE,누코미트캡슐200mg,7789,630909,1400,113400,2388,193428,0,0,6801,550881
2026-01,SNRCT,CODE,뉴라세탐정,,,0,0,0,0,0,0,0,0
2026-01,NLS30,CODE,뉴란소캡슐30mg,,,0,0,0,0,0,0,0,0
2026-01,NRZP10,CODE,뉴로자핀정10mg,90,110160,0,0,0,0,0,0,90,110160
2026-01,SNRZP5,CODE,뉴로자핀정5mg,123.75,92812.5,0,0,0,0,0,0,123.75,92812.5
2026-01,NCYNT100,CODE,뉴신타서방정100mg,,,0,0,0,0,0,0,0,0
2026-01,NCYNT50,CODE,뉴신타서방정50mg,47,35579,0,0,0,0,0,0,47,35579
2026-01,NEUOXITAM,CODE,뉴옥시탐정,,,0,0,0,0,0,0,0,0
2026-01,SNQU25,CODE,뉴큅정0.25mg,,,0,0,0,0,0,0,0,0
2026-01,NTRFRTI,CODE,니트로푸란토인캡슐,,,0,0,0,0,0,0,0,0
2026-01,DRTT,CODE,다라톤정50mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,다이아벡스정250mg,,,0,0,0,0,0,0,0,0
2026-01,DIAVX5,CODE,다이아벡스정500mg,,,0,0,0,0,0,0,0,0
2026-01,DICRZ,CODE,다이크로짇정,1066.5,10665,0,0,58.5,585,0,0,1008,10080
2026-01,,NOCODE,답플로정10mg,,,0,0,0,0,0,0,0,0
2026-01,ATRVST80,CODE,대웅바이오아토르바스타틴정80mg,177,272049,0,0,0,0,0,0,177,272049
2026-01,FCCL250,CODE,대웅팜시클로비르정250mg,63,242172,0,0,29,111476,0,0,34,130696
2026-01,,NOCODE,대웅피오글리타존정15mg,,,0,0,0,0,0,0,0,0
2026-01,WRFR,CODE,대화와르파린나트륨정2mg,388.75,11662.5,0,0,83.5,2505,0,0,305.25,9157.5
2026-01,,NOCODE,대화와르파린나트륨정5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,대화이자부프로펜400mg,,,0,0,0,0,0,0,0,0
2026-01,DSMN,CODE,데스민정0.2mg,0,0,120,135960,20,22660,0,0,100,113300
2026-01,DPS5,CODE,데파스정0.5mg,233.5,20548,0,0,28,2464,0,0,205.5,18084
2026-01,,NOCODE,"데파코트서방정250mg/폐기-유효기간,사용량저조",,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,"데파코트서방정500mg/폐기-유효기간,사용량저조",,,0,0,0,0,0,0,0,0
2026-01,DXD4,CODE,덱시드정480mg,,,0,0,0,0,0,0,0,0
2026-01,STRSM,CODE,도란사민캡슐,158,12640,0,0,0,0,0,0,158,12640
2026-01,DOMP,CODE,돔필정,604.5,34456.5,0,0,18,1026,0,0,586.5,33430.5
2026-01,,NOCODE,동광몬테루카스트정10mg,,,0,0,0,0,0,0,0,0
2026-01,AGNT25,CODE,동광알긴산나트륨액(25mL),1898,444132,0,0,273,63882,0,0,1625,380250
2026-01,DKVDGLT50,CODE,동구빌다글립틴정50mg,548,111792,0,0,31,6324,0,0,517,105468
2026-01,SSPRX,CODE,동아슈프락스캅셀100mg,650,275600,-30,-12720,0,0,0,0,620,262880
2026-01,DTRP,CODE,동화디트로판정,1114.5,208411.5,100,18700,84,15708,0,0,1130.5,211403.5
2026-01,DWALDP10,CODE,동화암로디핀베실산염정10mg,,,0,0,0,0,0,0,0,0
2026-01,OFLOXACIN,CODE,동화오플록사신정100mg,112,12320,0,0,0,0,0,0,112,12320
2026-01,DCLXS,CODE,둘코락스에스장용정,1167,280080,0,0,65,15600,0,0,1102,264480
2026-01,DPLA-ESS,CODE,듀락칸(듀파락)-이지시럽15ml,10390,2088390,0,0,5,1005,0,0,10385,2087385
2026-01,DPHALEYS5,CODE,듀락칸이지시럽500ml,26624,266240,10000,100000,10275,102750,0,0,26349,263490
2026-01,DLX30,CODE,듀로센캡슐30mg,524,211696,0,0,155,62620,0,0,369,149076
2026-01,,NOCODE,드록틴캡슐30mg,,,0,0,0,0,0,0,0,0
2026-01,DROXTIN60,CODE,드록틴캡슐60mg,1067,290224,0,0,0,0,0,0,1067,290224
2026-01,DGX,CODE,디고신정,316,11376,0,0,27,972,0,0,289,10404
2026-01,,NOCODE,디만틴정10mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,디만틴정5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,디스토시드정,,,0,0,0,0,0,0,0,0
2026-01,DIAMCMR,CODE,디아미크롱서방정30mg,567,66906,0,0,124,14632,0,0,443,52274
2026-01,,NOCODE,디아미크롱서방정60mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,디아미크롱정80mg,,,0,0,0,0,0,0,0,0
