drug_code,약품명,보강값,출처
GLZID80,그리자이드정,일반,규칙:비통제→일반
GLCN5,글루코닐정500mg,일반,규칙:비통제→일반
SGLP1000,글루파정1000mg,일반,규칙:비통제→일반
NEBAMINE,네바민정100mg,일반,규칙:비통제→일반
NESTYKAL,네스티칼현탁액/사용량저조반품,일반,규칙:비통제→일반
NTPMN,노통펜프러스미니정->비엘셋세미 변경,일반,규칙:비통제→일반
NCYNT100,뉴신타서방정100mg ★,일반,규칙:비통제→일반
NTRFRTI,니트로푸란토인캡슐,일반,규칙:비통제→일반
SIBPRFNDW4,대화이부프로펜400mg,일반,규칙:비통제→일반
DPKTER25,"데파코트서방정250mg/폐기-유효기간,사용량저조",일반,규칙:비통제→일반
SDPKTER,"데파코트서방정500mg/폐기-유효기간,사용량저조",일반,규칙:비통제→일반
DSTCD6,디스토시드정,일반,규칙:비통제→일반
,디아미크롱정80mg,일반,규칙:비통제→일반
DCMX,디카맥스1000,일반,규칙:비통제→일반
DCMAXD,디카맥스디정250mg,일반,규칙:비통제→일반
DPR20,디프렌캡슐20mg,일반,규칙:비통제→일반
LAGEVRIO,라게브리오캡슐,일반,규칙:비통제→일반
,라노펜정_x000D_,일반,규칙:비통제→일반
LMNGSO,라미나지액/장비교체로3개월간생산중단-거드액변경,일반,규칙:비통제→일반
,레오다제정/생산중단,일반,규칙:비통제→일반
,로나센정4mg,일반,규칙:비통제→일반
,로프민캅셀2mg,일반,규칙:비통제→일반
,리마리프정166.67mg,일반,규칙:비통제→일반
RSB35,리세본정35mg,일반,규칙:비통제→일반
PRRC75,리카스타캡슐75mg,일반,규칙:비통제→일반
SRFPC15,리팜핀캅셀150mg,일반,규칙:비통제→일반
SRLXIA12,릴렉시아정125mg,일반,규칙:비통제→일반
,마도파에취비에스캅셀,일반,규칙:비통제→일반
,마이암브톨제피정,일반,규칙:비통제→일반
,메게롤현탁액10ml,일반,규칙:비통제→일반
,메게이스에프현탁액5ml,일반,규칙:비통제→일반
,메네스에스정/23.6.19입고,일반,규칙:비통제→일반
MDLC,메디락디에스장용캅셀,일반,규칙:비통제→일반
MSTN6,메스티논정60mg,일반,규칙:비통제→일반
,메치론정4mg,일반,규칙:비통제→일반
CODEINE,명문인산코데인정 ★,일반,규칙:비통제→일반
,명문제약티로프라미드염산염정/비엘티로미변경,일반,규칙:비통제→일반
,명인벤즈트로핀 1mg-환인제약으로변경,일반,규칙:비통제→일반
,뮤테인캡슐200g,일반,규칙:비통제→일반
,뮤테인캡슐200g,일반,규칙:비통제→일반
,미니린멜트설하정60mcg,일반,규칙:비통제→일반
,바로메졸캡슐20mg,일반,규칙:비통제→일반
BRP10,바로판10mg,일반,규칙:비통제→일반
VTFCT160,발탄필름코팅정/160mg,일반,규칙:비통제→일반
,부광엔테카비르정1mg,일반,규칙:비통제→일반
ISMRTD,부광이소맥지속성캡슐20mg,일반,규칙:비통제→일반
,비엘셋정/라노펜정대체,일반,규칙:비통제→일반
,비엘아세틸캡슐/뮤테인캡슐대체,일반,규칙:비통제→일반
,빅손정2mg,일반,규칙:비통제→일반
,삼진니모디핀정30mg,일반,규칙:비통제→일반
,삼진히드랄라진염산염,일반,규칙:비통제→일반
SETORAM5,세토람정,일반,규칙:비통제→일반
,셀리온정10mg/포장단위변경,일반,규칙:비통제→일반
CKRT,셀코르정4mg,일반,규칙:비통제→일반
,스토마정,일반,규칙:비통제→일반
STRMT3,스트로멕톨정3mg,일반,규칙:비통제→일반
,신풍플루캡슐75mg->타미플루,일반,규칙:비통제→일반
SSC,실콘정625mg,일반,규칙:비통제→일반
SSVC2,심바코정20mg,일반,규칙:비통제→일반
,써스펜8시간이알서방정650mg,일반,규칙:비통제→일반
,쎄레브렉스캡슐100mg/코드변경,일반,규칙:비통제→일반
,씨제이크레메진세립2g,일반,규칙:비통제→일반
ARAVA2,아라바정20g,일반,규칙:비통제→일반
AVDT,아보다트연질캅셀,일반,규칙:비통제→일반
,아세브로캡슐100mg,일반,규칙:비통제→일반
,아세티론정100mg,일반,규칙:비통제→일반
IRCD5,아이알코돈정5mg ★,마약,향정마약관리 원장
,아젤라정1mg/부광아젭팁으로변경,일반,규칙:비통제→일반
,아질렉트정1mg,일반,규칙:비통제→일반
ALLK,알레락정5mg,일반,규칙:비통제→일반
ARVT,알레버트정20/40mg,일반,규칙:비통제→일반
,알츠코린시럽10ml,일반,규칙:비통제→일반
,알코텔정500mg,일반,규칙:비통제→일반
,에도날캡슐/알도스텐캡슐->에도날,일반,규칙:비통제→일반
,에란탄지속정60mg/엘탄정으로변경,일반,규칙:비통제→일반
,에리손정/에페리손엔티정대체,일반,규칙:비통제→일반
,에제로수10/20mg,일반,규칙:비통제→일반
ETRV1,에트라빌10mg,일반,규칙:비통제→일반
,에필렙톨씨알정200mg,일반,규칙:비통제→일반
ORFSR,오르필서방정300mg/23.6.20입고,일반,규칙:비통제→일반
