drug_code,약품명,보강값,출처
GLZID80,그리자이드정,(미해소),공공API/수기
GLCN5,글루코닐정500mg,(미해소),공공API/수기
SGLP1000,글루파정1000mg,(미해소),공공API/수기
NEBAMINE,네바민정100mg,(미해소),공공API/수기
NESTYKAL,네스티칼현탁액/사용량저조반품,(미해소),공공API/수기
NTPMN,노통펜프러스미니정->비엘셋세미 변경,(미해소),공공API/수기
NCYNT100,뉴신타서방정100mg ★,(미해소),공공API/수기
NTRFRTI,니트로푸란토인캡슐,(미해소),공공API/수기
SIBPRFNDW4,대화이부프로펜400mg,(미해소),공공API/수기
DPKTER25,"데파코트서방정250mg/폐기-유효기간,사용량저조",(미해소),공공API/수기
SDPKTER,"데파코트서방정500mg/폐기-유효기간,사용량저조",(미해소),공공API/수기
DSTCD6,디스토시드정,(미해소),공공API/수기
,디아미크롱정80mg,(미해소),공공API/수기
DCMX,디카맥스1000,(미해소),공공API/수기
DCMAXD,디카맥스디정250mg,(미해소),공공API/수기
DPR20,디프렌캡슐20mg,(미해소),공공API/수기
LAGEVRIO,라게브리오캡슐,(미해소),공공API/수기
,라노펜정_x000D_,(미해소),공공API/수기
LMNGSO,라미나지액/장비교체로3개월간생산중단-거드액변경,(미해소),공공API/수기
,레오다제정/생산중단,(미해소),공공API/수기
,로나센정4mg,(미해소),공공API/수기
,로프민캅셀2mg,(미해소),공공API/수기
,리마리프정166.67mg,(미해소),공공API/수기
RSB35,리세본정35mg,(미해소),공공API/수기
PRRC75,리카스타캡슐75mg,(미해소),공공API/수기
SRFPC15,리팜핀캅셀150mg,(미해소),공공API/수기
SRLXIA12,릴렉시아정125mg,(미해소),공공API/수기
,마도파에취비에스캅셀,(미해소),공공API/수기
,마이암브톨제피정,(미해소),공공API/수기
,메게롤현탁액10ml,(미해소),공공API/수기
,메게이스에프현탁액5ml,(미해소),공공API/수기
,메네스에스정/23.6.19입고,(미해소),공공API/수기
MDLC,메디락디에스장용캅셀,(미해소),공공API/수기
MSTN6,메스티논정60mg,(미해소),공공API/수기
,메치론정4mg,(미해소),공공API/수기
CODEINE,명문인산코데인정 ★,(미해소),공공API/수기
,명문제약티로프라미드염산염정/비엘티로미변경,(미해소),공공API/수기
,명인벤즈트로핀 1mg-환인제약으로변경,(미해소),공공API/수기
,뮤테인캡슐200g,(미해소),공공API/수기
,뮤테인캡슐200g,(미해소),공공API/수기
,미니린멜트설하정60mcg,(미해소),공공API/수기
,바로메졸캡슐20mg,(미해소),공공API/수기
BRP10,바로판10mg,(미해소),공공API/수기
VTFCT160,발탄필름코팅정/160mg,(미해소),공공API/수기
,부광엔테카비르정1mg,(미해소),공공API/수기
ISMRTD,부광이소맥지속성캡슐20mg,(미해소),공공API/수기
,비엘셋정/라노펜정대체,(미해소),공공API/수기
,비엘아세틸캡슐/뮤테인캡슐대체,(미해소),공공API/수기
,빅손정2mg,(미해소),공공API/수기
,삼진니모디핀정30mg,(미해소),공공API/수기
,삼진히드랄라진염산염,(미해소),공공API/수기
SETORAM5,세토람정,(미해소),공공API/수기
,셀리온정10mg/포장단위변경,(미해소),공공API/수기
CKRT,셀코르정4mg,(미해소),공공API/수기
,스토마정,(미해소),공공API/수기
STRMT3,스트로멕톨정3mg,(미해소),공공API/수기
,신풍플루캡슐75mg->타미플루,(미해소),공공API/수기
SSC,실콘정625mg,(미해소),공공API/수기
SSVC2,심바코정20mg,(미해소),공공API/수기
,써스펜8시간이알서방정650mg,일반의약품,통합본 약품명
,쎄레브렉스캡슐100mg/코드변경,(미해소),공공API/수기
,씨제이크레메진세립2g,(미해소),공공API/수기
ARAVA2,아라바정20g,(미해소),공공API/수기
AVDT,아보다트연질캅셀,(미해소),공공API/수기
,아세브로캡슐100mg,전문의약품,통합본 약품명
,아세티론정100mg,(미해소),공공API/수기
IRCD5,아이알코돈정5mg ★,(미해소),공공API/수기
,아젤라정1mg/부광아젭팁으로변경,(미해소),공공API/수기
,아질렉트정1mg,(미해소),공공API/수기
