drug_code,code_status,약품명,구분,성분명KR,성분명EN,복합단일,효능,제조판매사,총수량,제형,포장,첨가제,전문일반,마약구분,ATC번호,대분류,중분류,소분류,급여구분,보험코드,보험약가,통당단가,구입단가,전월재고,유효기한,보관방법,보관위치,입고일자,상태,비고
SGBRONNC10,CODE,가바로닌캡슐100mg,경구제,가바펜틴,Gabapentin,단일제,,알리코제약(주),100,캡슐,병,"탤크,경질캡슐",전문의약품,일반,N02BF01,신경계,진통제,해열·진통제(기타),급여,656003910,198,19800,198,1158,2028-01-13,실온,,,사용,
SGBRONNC30,CODE,가바로닌캡슐300mg,경구제,가바펜틴,Gabapentin,단일제,,알리코제약(주),100,캡슐,병,"탤크,경질캡슐",전문의약품,일반,N02BF01,신경계,진통제,해열·진통제(기타),급여,656003900,407,40700,407,777,2028-02-04,실온,,,사용,
GBRT100,CODE,가바론틴캡슐100mg,경구제,가바펜틴,Gabapentin,단일제,,엔비케이제약(주),100,캡슐,병,"탤크,옥수수전분,캡슐",전문의약품,일반,N02BF01,신경계,진통제,해열·진통제(기타),급여,,157,0,0,0,,,,,중지,
GBRT300,CODE,가바론틴캡슐300mg,경구제,가바펜틴,Gabapentin,단일제,,(주)씨엘팜,100,캡슐,병,"탤크,옥수수전분,캡슐",전문의약품,일반,N02BF01,신경계,진통제,해열·진통제(기타),급여,,259,0,0,0,,,,,중지,
GVSMT5,CODE,가브스메트정50/500mg,경구제,빌다글립틴/메트포르민염산염,Vildagliptin/Metformin Hydrochloride,복합제,,한국노바티스(주),60,정제,PTP,"오파드라이황색00F12951,스테아르산마그네슘,오파드라이적색00F15613,히드록시프로필셀룰로오스,오파드라이흰색00F18296",전문의약품,일반,A10BD08,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,311,0,0,0,,,,,중지,
GVSMT,CODE,가브스메트정50/850mg,경구제,빌다글립틴/메트포르민염산염,Vildagliptin/Metformin Hydrochloride,복합제,,한국노바티스(주),60,정제,PTP,"오파드라이 황색,오파드라이 흰색,스테아르산마그네슘,히드록시프로필셀룰로오스",전문의약품,일반,A10BD08,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,81,0,0,0,,,,,중지,
GVS50,CODE,가브스정50mg,경구제,빌다글립틴(미분화),Vildagliptin Micronized,단일제,,한국노바티스(주),28,정제,PTP,"미결정셀룰로오스,유당,스테아르산마그네슘,전분글리콜산나트륨",전문의약품,일반,A10BH02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,54,0,0,0,,,,,중지,
GBTR100,CODE,가비스타캡슐100mg,경구제,가바펜틴,Gabapentin,단일제,,한국코러스(주),300,캡슐,병,"유당수화물,전호화전분,탤크,캡슐제",전문의약품,일반,N02BF01,신경계,진통제,해열·진통제(기타),급여,,334,0,0,0,,,,,중지,
GASPRID,CODE,가스프리드정,경구제,모사프리드시트르산염수화물,Mosapride Citrate Dihydrate,단일제,,태극제약(주),300,정제,병,"저치환도히드록시프로필셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분,히드록시프로필셀룰로오스",전문의약품,일반,A03FA09,소화관 및 대사,기능성 위장관 장애 치료제,위장관 운동 촉진제,급여,,118,0,0,0,,,,,중지,
GDS25,CODE,거드액,경구제,알긴산나트륨,Sodium Alginate,단일제,,삼아제약(주),25,,포,"수산화나트륨,메틸파라벤,애플민트향(HF-315370),프로필파라벤,수크랄로스,카보머호모폴리머,아세설팜칼륨,정제수",전문의약품,일반,A02BX13,소화관 및 대사,위산 관련 질환 치료제,소화성 궤양·역류질환 치료제,급여,,49,0,0,0,,,,,중지,
