drug_code,code_status,약품명,opening_qty,in_qty,used_qty,disposal_qty,return_qty,current_qty
SGBRONNC10,CODE,가바로닌캡슐100mg,1158,0,0,0,0,1158
SGBRONNC30,CODE,가바로닌캡슐300mg,777,0,0,0,0,777
GBRT100,CODE,가바론틴캡슐100mg,0,0,0,0,0,0
GBRT300,CODE,가바론틴캡슐300mg,0,0,0,0,0,0
GVSMT5,CODE,가브스메트정50/500mg,0,0,0,0,0,0
GVSMT,CODE,가브스메트정50/850mg,0,0,0,0,0,0
GVS50,CODE,가브스정50mg,0,0,0,0,0,0
GBTR100,CODE,가비스타캡슐100mg,0,0,0,0,0,0
GASPRID,CODE,가스프리드정,0,0,0,0,0,0
GDS25,CODE,거드액,0,0,0,0,0,0
KSPT100,CODE,건스펜틴캡슐100mg,0,0,0,0,0,0
KSPT300,CODE,건스펜틴캡슐300mg,0,0,0,0,0,0
KPR10,CODE,건프람정10mg,0,0,0,0,0,0
GRD2,CODE,게리드정2mg,286.5,0,0,0,0,286.5
GRDT4,CODE,게리드정4mg,1383,0,0,0,0,1383
GFSM,CODE,겔포스엠현탁액,0,0,0,0,0,0
GODEXCP,CODE,고덱스캡슐,683,0,0,0,0,683
KOREAEUNDAN,CODE,고려은단비타민씨정,2329,0,0,0,0,2329
GOCALD,CODE,고칼디정,525,0,0,0,0,525
SPRDT,CODE,구주스피로닥톤정,1777,0,0,0,0,1777
GRPR1000,CODE,그랑페롤연질캡슐1000아이유,42,0,0,0,0,42
GLZID80,CODE,그리자이드정,0,0,0,0,0,0
GLCN5,CODE,글루코닐정500mg,0,0,0,0,0,0
GLUDT1000,CODE,글루코다운정1000mg,840,0,0,0,0,840
GLUDT250,CODE,글루코다운정250mg,1687,0,0,0,0,1687
GLUDT500,CODE,글루코다운정500mg,1471,0,0,0,0,1471
GLCB10,CODE,글루코바이정100mg,0,0,0,0,0,0
SGLP1000,CODE,글루파정1000mg,0,0,0,0,0,0
GLATAMSYR,CODE,글리아타민시럽,0,0,0,0,0,0
NAXEN-F,CODE,낙센에프서방정1000mg,631.5,0,0,0,0,631.5
NXZ,CODE,낙소졸정500/20mg,1602,0,0,0,0,1602
NEBAMINE,CODE,네바민정100mg,0,0,0,0,0,0
NBLT,CODE,네비레트정,0,0,0,0,0,0
NBCT,CODE,네비칸정,240.5,0,0,0,0,240.5
NESTYKAL,CODE,네스티칼현탁액/사용량저조반품,0,0,0,0,0,0
SNESINA12.5,CODE,네시나정12.5mg,236,0,0,0,0,236
NOCT10,CODE,네오셉트정10mg,3203,0,0,0,0,3203
NEOCT5,CODE,네오셉트정5mg,969.5,0,0,0,0,969.5
NEXIOM40,CODE,넥시오메정40mg,490,0,0,0,0,490
SNXU4,CODE,넥시움정40mg,0,0,0,0,0,0
NSFMTD2,CODE,넬슨파모티딘정20mg,0,0,0,0,0,0
NORMX,CODE,노르믹스정,36,0,0,0,0,36
NVT5160,CODE,노발탄정5/160mg,278,0,0,0,0,278
NVT580,CODE,노발탄정5/80mg,484,0,0,0,0,484
NOBSET20,CODE,노브세틴캡슐,904,0,0,0,0,904
NOIRM,CODE,노이로민정300mg,60,0,0,0,0,60
NTPMN,CODE,노통펜프러스미니정->비엘셋세미 변경,0,0,0,0,0,0
NOPC,CODE,노피드캡슐,281,0,0,0,0,281
NCMT200,CODE,누코미트캡슐200mg,3689,0,0,0,0,3689
SNRCT,CODE,뉴라세탐정,0,0,0,0,0,0
NLS30,CODE,뉴란소캡슐30mg,0,0,0,0,0,0
NRZP10,CODE,뉴로자핀정10mg,0,0,0,0,0,0
SNRZP5,CODE,뉴로자핀정5mg,60,0,0,0,0,60
NCYNT100,CODE,뉴신타서방정100mg ★,0,0,0,0,0,0
NCYNT50,CODE,뉴신타서방정50mg,30,0,0,0,0,30
NEUOXITAM,CODE,뉴옥시탐정,0,0,0,0,0,0
SNQU25,CODE,뉴큅정0.25mg,0,0,0,0,0,0
NTRFRTI,CODE,니트로푸란토인캡슐,0,0,0,0,0,0
DRTT,CODE,다라톤정50mg,0,0,0,0,0,0
DIABX25,CODE,다이아벡스정250mg,0,0,0,0,0,0
DIAVX5,CODE,다이아벡스정500mg,0,0,0,0,0,0
DICRZ,CODE,다이크로짇정,1213.5,0,0,0,0,1213.5
DFL10,CODE,답플로정10mg,0,0,0,0,0,0
DWASPI100,CODE,대웅바이오아스피린장용정100mg,1500,0,0,0,0,1500
ATRVST80,CODE,대웅바이오아토르바스타틴정80mg,177,0,0,0,0,177
FCCL250,CODE,대웅팜시클로비르정250mg,0,0,0,0,0,0
POGLTZ15,CODE,대웅피오글리타존정15mg,0,0,0,0,0,0
WRFR,CODE,대화와르파린나트륨정2mg,93,0,0,0,0,93
WRFRDH5,CODE,대화와르파린나트륨정5mg,0,0,0,0,0,0
SIBPRFNDW4,CODE,대화이부프로펜400mg,0,0,0,0,0,0
DSMN,CODE,데스민정0.2mg,65,0,0,0,0,65
DPS5,CODE,데파스정0.5mg,186.5,0,0,0,0,186.5
DPKTER25,CODE,"데파코트서방정250mg/폐기-유효기간,사용량저조",0,0,0,0,0,0
SDPKTER,CODE,"데파코트서방정500mg/폐기-유효기간,사용량저조",0,0,0,0,0,0
DXD4,CODE,덱시드정480mg,0,0,0,0,0,0
STRSM,CODE,도란사민캡슐,59,0,0,0,0,59
DOMP,CODE,돔필정,371,0,0,0,0,371
DKMTRKST10,CODE,동광몬테루카스트정10mg,0,0,0,0,0,0
AGNT25,CODE,동광알긴산나트륨액25mL,290,0,0,0,0,290
DKVDGLT50,CODE,동구빌다글립틴정50mg,169,0,0,0,0,169
SSPRX,CODE,동아슈프락스산,408,0,0,0,0,408
DTRP,CODE,동화디트로판정,301,0,0,0,0,301
DWALDP10,CODE,동화암로디핀베실산염정10mg,0,0,0,0,0,0
OFLOXACIN,CODE,동화오플록사신정100mg,209,0,0,0,0,209
DCLXS,CODE,둘코락스에스장용정,466,0,0,0,0,466
DPLA-ESS,CODE,듀락칸이지시럽15mL,262,0,0,0,0,262
DPHALEYS5,CODE,듀락칸이지시럽500mL,28120,0,0,0,0,28120
DLX30,CODE,듀로센캡슐30mg,440,0,0,0,0,440
DROXTIN60,CODE,듀로센캡슐60mg,288,0,0,0,0,288
SDRXTC3,CODE,드록틴캡슐30mg,0,0,0,0,0,0
DGX,CODE,디고신정,505,0,0,0,0,505
DMT10,CODE,디만틴정10mg,0,0,0,0,0,0
DMT5,CODE,디만틴정5mg,0,0,0,0,0,0
DSTCD6,CODE,디스토시드정,0,0,0,0,0,0
DIAMCMR,CODE,디아미크롱서방정30mg,909,0,0,0,0,909
DIMCRM,CODE,디아미크롱서방정60mg,0,0,0,0,0,0
,NOCODE,디아미크롱정80mg,0,0,0,0,0,0
DCMX,CODE,디카맥스1000,0,0,0,0,0,0
DCMAXD,CODE,디카맥스디정250mg,0,0,0,0,0,0
DPR20,CODE,디프렌캡슐20mg,0,0,0,0,0,0
DILA-SR,CODE,딜라트렌에스알정8mg,233,0,0,0,0,233
DLTRNSRC16,CODE,딜라트렌에스알캡슐16mg,0,0,0,0,0,0
LAGEVRIO,CODE,라게브리오캡슐,0,0,0,0,0,0
,NOCODE,라노펜세미정,0,0,0,0,0,0
,NOCODE,라노펜정_x000D_,0,0,0,0,0,0
LMNGSO,CODE,라미나지액/장비교체로3개월간생산중단-거드액변경,0,0,0,0,0,0
LMS125,CODE,라미실정125mg,0,0,0,0,0,0
SLMT10,CODE,라믹탈정100mg,139.75,0,0,0,0,139.75
,NOCODE,라믹탈정25mg,0,0,0,0,0,0
SRBPA10,CODE,라베피아정10mg,512,0,0,0,0,512
RBPA20,CODE,라베피아정20mg,168,0,0,0,0,168
RBD,CODE,라본디캡슐,0,0,0,0,0,0
LSX,CODE,라식스정40mg,953.5,0,0,0,0,953.5
,NOCODE,라코정200mg,0,0,0,0,0,0
RPZ10,CODE,라피졸정10mg,0,0,0,0,0,0
RPZ20,CODE,라피졸정20mg,0,0,0,0,0,0
LSTLFDT15,CODE,란스톤엘에프디티정15mg,519,0,0,0,0,519
LSRC30,CODE,란시라캡슐30mg,542,0,0,0,0,542
,NOCODE,란프라캡슐30mg,0,0,0,0,0,0
LEGAL,CODE,레가론캡슐140mg,646,0,0,0,0,646
,NOCODE,레나메진캡슐,0,0,0,0,0,0
,NOCODE,레날민정,0,0,0,0,0,0
REBMR,CODE,레바미론정,3033,0,0,0,0,3033
LVD60,CODE,레보딥정,1161,0,0,0,0,1161
SLVCC750,CODE,레보카신정750mg,100,0,0,0,0,100
SLVTSSR,CODE,레보투스시럽10mL,665,0,0,0,0,665
LEVOTIL,CODE,레보틸정,0,0,0,0,0,0
SLVFRC,CODE,레보푸라신정,373,0,0,0,0,373
LVEP1000,CODE,레비에필정1000mg,314,0,0,0,0,314
LVP500,CODE,레비에필정500mg,1589,0,0,0,0,1589
,NOCODE,레오다제정/생산중단,0,0,0,0,0,0
RPZ2,CODE,레피졸정2mg,422.5,0,0,0,0,422.5
,NOCODE,렉사스타정5mg,0,0,0,0,0,0
SREXPINT,CODE,렉시핀정,4280,0,0,0,0,4280
,NOCODE,렌벨라정,0,0,0,0,0,0
LEMPID,CODE,렘피드캡슐,1496,0,0,0,0,1496
,NOCODE,로나센정4mg,0,0,0,0,0,0
LNFT,CODE,로나펜정,786,0,0,0,0,786
SLNT,CODE,로닌정,0,0,0,0,0,0
,NOCODE,로멜라인장용정,0,0,0,0,0,0
RSDO10,CODE,로수듀오정10/10mg,349,0,0,0,0,349
ROSUDUO5,CODE,로수듀오정10/5mg,143,0,0,0,0,143
ROSM10,CODE,로수민정10mg,541,0,0,0,0,541
ROSM20,CODE,로수민정20mg,480,0,0,0,0,480
RSM5,CODE,로수민정5mg,600,0,0,0,0,600
RSMZ10,CODE,로수엠젯정10/10mg,0,0,0,0,0,0
RSMZ105,CODE,로수엠젯정10/5mg,0,0,0,0,0,0
,NOCODE,로스탈정100mg,0,0,0,0,0,0
,NOCODE,로이솔정,0,0,0,0,0,0
LOTINE20,CODE,로틴캡슐20mg,0,0,0,0,0,0
,NOCODE,로프민캅셀2mg,0,0,0,0,0,0
,NOCODE,록스펜정,0,0,0,0,0,0
LRJTDO500,CODE,리라젠타듀오정2.5/500mg,132,0,0,0,0,132
LRJT5,CODE,리라젠타정5mg,448,0,0,0,0,448
,NOCODE,리마리프정166.67mg,0,0,0,0,0,0
LVLO,CODE,리바로정2mg,3,0,0,0,0,3
RIVARM15,CODE,리바록엠정15mg,342,0,0,0,0,342
RIVARM20,CODE,리바록엠정20mg,140,0,0,0,0,140
RVM15,CODE,리바마인캡슐1.5mg,93,0,0,0,0,93
LVTGR,CODE,리박트과립,180,0,0,0,0,180
RVTRL,CODE,리보트릴정0.5mg,703.5,0,0,0,0,703.5
,NOCODE,리비알정,0,0,0,0,0,0
RSB35,CODE,리세본정35mg,0,0,0,0,0,0
RSPL,CODE,리센플러스정,0,0,0,0,0,0
RISELTON1.5,CODE,리셀톤캡슐1.5mg,0,0,0,0,0,0
RISELTON,CODE,리셀톤캡슐3mg,357,0,0,0,0,357
,NOCODE,리셀톤캡슐4.5mg,0,0,0,0,0,0
SRSP0.5,CODE,리스펜정0.5mg,0,0,0,0,0,0
PRRC75,CODE,리카스타캡슐75mg,0,0,0,0,0,0
,NOCODE,리큅정0.25mg,0,0,0,0,0,0
,NOCODE,리큅정1mg,0,0,0,0,0,0
,NOCODE,리큅피디정2mg,0,0,0,0,0,0
RTMNSR2,CODE,리트모놈SR서방캡슐225mg,0,0,0,0,0,0
SRFPC15,CODE,리팜핀캅셀150mg,0,0,0,0,0,0
RIFDC150,CODE,리포덱스캅셀150mg,500,0,0,0,0,500
,NOCODE,리피논정80mg,0,0,0,0,0,0
,NOCODE,리피엔정10mg,0,0,0,0,0,0
,NOCODE,리피엔정20mg,0,0,0,0,0,0
,NOCODE,리피토정80mg,0,0,0,0,0,0
LXANAT3,CODE,릭시아나정30mg,97,0,0,0,0,97
SRLXIA12,CODE,릴렉시아정125mg,0,0,0,0,0,0
MGNS,CODE,마그네스정,729,0,0,0,0,729
MGM,CODE,마그밀정,8546,0,0,0,0,8546
